Standort;Standortklasse;Messgrösse;Einheit;Messwert;Jahr
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.71;2007
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;15.83;2008
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;15.12;2009
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.91;2010
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;14.33;2011
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;13.85;2012
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;13.31;2013
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;12.53;2014
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;13.44;2015
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;12.21;2016
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;12.13;2017
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;11.25;2018
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;11.6;2019
Höri_Pflanzgarten;ländlich / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;9.15;2020
