empfindl. Ökosystem;Überschreitung Critical Load;Anteil an Ökosystem-Gesamtfläche
Wald;8.881296;0.460554371002132
Flachmoore;8.892658;0.189069423929099
Flachmoore;8.8983555;0.189807976366322
Trockenwiesen/-weiden;8.903585;0.873417721518987
Flachmoore;8.909929;0.190546528803545
Flachmoore;8.9324665;0.191285081240768
Flachmoore;8.956604;0.192023633677991
Flachmoore;8.960463;0.192762186115214
Flachmoore;8.975544;0.193500738552437
Wald;8.989033;0.462686567164179
Wald;8.997824;0.464818763326226
Flachmoore;9.047157;0.19423929098966
Wald;9.07579;0.466950959488273
Wald;9.079893;0.46908315565032
Flachmoore;9.146236;0.194977843426883
Flachmoore;9.157108;0.195716395864106
Wald;9.183926;0.471215351812367
Flachmoore;9.187984;0.196454948301329
Wald;9.189413;0.473347547974414
Wald;9.217188;0.475479744136461
Flachmoore;9.2458515;0.197193500738552
Flachmoore;9.276913;0.197932053175775
Flachmoore;9.290159;0.198670605612999
Flachmoore;9.324083;0.199409158050222
Wald;9.325051;0.477611940298507
Wald;9.338924;0.479744136460554
Flachmoore;9.35144;0.200147710487445
Flachmoore;9.410929;0.200886262924668
Wald;9.423541;0.481876332622601
Wald;9.43543;0.484008528784648
Flachmoore;9.435478;0.201624815361891
Flachmoore;9.44212;0.202363367799114
Flachmoore;9.480585;0.203101920236337
Wald;9.493922;0.486140724946695
Flachmoore;9.502218;0.20384047267356
Flachmoore;9.509363;0.204579025110783
Wald;9.51079;0.488272921108742
Flachmoore;9.5124035;0.205317577548006
Wald;9.513705;0.490405117270789
Flachmoore;9.532446;0.206056129985229
Wald;9.563142;0.492537313432836
Flachmoore;9.566307;0.206794682422452
Trockenwiesen/-weiden;9.602495;0.886075949367089
Wald;9.603205;0.494669509594883
Wald;9.605123;0.49680170575693
Flachmoore;9.612017;0.207533234859675
Flachmoore;9.649639;0.208271787296898
Wald;9.653793;0.498933901918977
Flachmoore;9.65407;0.209010339734121
Wald;9.656747;0.501066098081023
Wald;9.677128;0.50319829424307
Flachmoore;9.696869;0.209748892171344
Flachmoore;9.704763;0.210487444608567
Wald;9.715526;0.505330490405117
Flachmoore;9.718872;0.21122599704579
Wald;9.726069;0.507462686567164
Wald;9.729743;0.509594882729211
Flachmoore;9.730444;0.211964549483013
Flachmoore;9.757051;0.212703101920236
Flachmoore;9.757776;0.213441654357459
Wald;9.761665;0.511727078891258
Wald;9.764484;0.513859275053305
Wald;9.771524;0.515991471215352
Flachmoore;9.777119;0.214180206794682
Flachmoore;9.780268;0.214918759231905
Flachmoore;9.785988;0.215657311669129
Wald;9.801132;0.518123667377399
Trockenwiesen/-weiden;9.80788;0.89873417721519
Flachmoore;9.827656;0.216395864106352
Flachmoore;9.830889;0.217134416543575
Wald;9.834625;0.520255863539446
Wald;9.846689;0.522388059701492
Flachmoore;9.847954;0.217872968980798
Wald;9.865244;0.524520255863539
Flachmoore;9.876051;0.218611521418021
Wald;9.894;0.526652452025586
Wald;9.904146;0.528784648187633
Wald;9.918579;0.53091684434968
Flachmoore;9.950003;0.219350073855244
Wald;9.958043;0.533049040511727
Wald;9.992765;0.535181236673774
Wald;9.995487;0.537313432835821
Flachmoore;10.00108;0.220088626292467
Flachmoore;10.01103;0.22082717872969
Wald;10.025734;0.539445628997868
Flachmoore;10.031109;0.221565731166913
Wald;10.0389595;0.541577825159915
Flachmoore;10.042294;0.222304283604136
Wald;10.046386;0.543710021321962
Wald;10.0526905;0.545842217484009
Wald;10.063825;0.547974413646055
Flachmoore;10.067585;0.223042836041359
Flachmoore;10.081778;0.223781388478582
Flachmoore;10.098635;0.224519940915805
Flachmoore;10.109421;0.225258493353028
Flachmoore;10.149914;0.225997045790251
Flachmoore;10.156807;0.226735598227474
Flachmoore;10.164019;0.227474150664697
Wald;10.181795;0.550106609808102
Wald;10.185544;0.552238805970149
Trockenwiesen/-weiden;10.227215;0.911392405063291
Flachmoore;10.243387;0.22821270310192
Flachmoore;10.244169;0.228951255539143
Flachmoore;10.249216;0.229689807976366
Flachmoore;10.255095;0.230428360413589
Flachmoore;10.256294;0.231166912850812
Flachmoore;10.257656;0.231905465288035
Flachmoore;10.258753;0.232644017725259
Flachmoore;10.260801;0.233382570162482
Wald;10.261671;0.554371002132196
Flachmoore;10.265917;0.234121122599705
Flachmoore;10.280975;0.234859675036928
Wald;10.301038;0.556503198294243
Flachmoore;10.323832;0.235598227474151
Trockenwiesen/-weiden;10.326866;0.924050632911392
Flachmoore;10.331799;0.236336779911374
Flachmoore;10.332146;0.237075332348597
Flachmoore;10.335758;0.23781388478582
Wald;10.340477;0.55863539445629
Flachmoore;10.361567;0.238552437223043
Flachmoore;10.364067;0.239290989660266
Flachmoore;10.3722725;0.240029542097489
Wald;10.378914;0.560767590618337
Wald;10.388382;0.562899786780384
Flachmoore;10.391949;0.240768094534712
Wald;10.394579;0.565031982942431
Flachmoore;10.395475;0.241506646971935
Wald;10.413302;0.567164179104478
Flachmoore;10.429756;0.242245199409158
Wald;10.433573;0.569296375266525
Flachmoore;10.454014;0.242983751846381
Flachmoore;10.460932;0.243722304283604
Wald;10.465307;0.571428571428571
Flachmoore;10.505081;0.244460856720827
Wald;10.517835;0.573560767590618
Flachmoore;10.522932;0.24519940915805
Flachmoore;10.523516;0.245937961595273
Flachmoore;10.52816;0.246676514032496
Flachmoore;10.529793;0.247415066469719
