year;site;site_long;source;siteclass;ecosystem_category;critical_load_min;critical_load_single;critical_load_max;parameter;unit;value
2020;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;12.44361055059069
2020;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;17.3020535214579
2020;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;6.672147802764576
2020;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;20.61645289794342
2020;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Wald;5;10;20;N-Deposition;kg-N/ha/a;27.288600700708
2021;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;4.54381776075164
2021;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;12.672709022694178
2021;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;17.2165267834458
2021;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;5.503454388947137
2021;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;20.43921111050598
2021;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;25.9426654994531
2021;NET;Neerach-Turpenlöcher;OSTLUFT;mittel;Flachmoor;15;15;30;aus NOx-Quellen;kg-N/ha/a;5.444578218419339
2021;NET;Neerach-Turpenlöcher;OSTLUFT;mittel;Flachmoor;15;15;30;aus NH3-Quellen;kg-N/ha/a;18.315783023239938
2021;NET;Neerach-Turpenlöcher;OSTLUFT;mittel;Flachmoor;15;15;30;N-Deposition;kg-N/ha/a;23.7603612416593
2021;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Flachmoor;15;15;25;aus NOx-Quellen;kg-N/ha/a;5.135216847139032
2021;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Flachmoor;15;15;25;aus NH3-Quellen;kg-N/ha/a;14.596189675201051
2021;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Flachmoor;15;15;25;N-Deposition;kg-N/ha/a;19.7314065223401
2021;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;7.39496344197834
2021;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;17.617248894899113
2021;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Wald;5;10;20;N-Deposition;kg-N/ha/a;25.0122123368774
2021;WAB;Wasterkingen-Büelhalden;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;4.831286297534487
2021;WAB;Wasterkingen-Büelhalden;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;10.456337505052215
2021;WAB;Wasterkingen-Büelhalden;OSTLUFT;mittel;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;15.2876238025867
2021;WAB;Wasterkingen-Büelhalden;OSTLUFT;mittel;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;6.773480317124022
2021;WAB;Wasterkingen-Büelhalden;OSTLUFT;mittel;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;16.50989803219991
